processed_text,comments_count
станция кузнецкий мост год честь волонтёр яркий москва раздать пассажир брошюра интересный факт например узнать кузнецкий мост станция который спрятать внутри двор доходный дом почему такой название архитектор украсить станция тот успеть взять такой брошюрка хотеть делиться,15
вместе департамент культура отобрать интересный мероприятие весь семья этот выходной находиться пеший доступность метро хороший отдых,9
новый год близко пора покупать подарок стойка живой общение сувенирный магазин метро бесплатно упаковать подарок покупка товар рубль наш сотрудник обернуть ваш подарок красивый стильный упаковка станция метро кольцевой парк культура белорусский киевский курский павелецкий пушкинский маяковский магазин трубный магазин чкаловский площадь революция александровский сад хорошевский цска мцк нижегородский стойка живой общение магазин работать каждый день,10
станция московский метро эстакадный это значит находиться поверхность земля стоять железобетонный опора воробьёв гора сокольнический линия эстакадный станция столица сначала планировать построить тоннель москва река работа принять уникальный проект линия провести мост возведение станция немой момент открытие станция самый широкий длинный платформа московский метро это станция мир который находиться мост река год запустить бутовский линия построить экспериментальный лёгкий метро половина линия возвести эстакадный исполнение это нужно уменьшить стоимость сократить срок строительство станция бутовский линия улица скобелёвский бульвар адмирал ушаков улица горчаков бунинский аллея эстакадный находиться высота метр земля,98
вместе ргс открывать экспозиция воробьевый гора посвятить этнобренд россия колба увидеть уральский самоцвет тульский самовар изделие гжельский мастер другой интересный факт производство оренбургский пуховый платок вывести специальный порода коза павловопосадский платок изнанка двусторонний белый глина который подходить гжельский фарфор искать век яркий этнобренд разный уголок страна быть ждать станция январь,3
наш метро добрый история случаться каждый день сотрудник московский транспорт помогать человек животное находить любовь читать,5
душевный филёвка вашифото,12
открытие пригородный стать удобный транспорт ежедневный поездка измениться мцд первый два диаметр перевозить современный подвижный состав иволга строиться новый московский городской вокзал реконструироваться старый остановка например год открыть обновить тимирязевский прошлый печатник стать простой платить проезд пользоваться тройка бесплатно пересаживаться метро мцк диаметр год присоединиться продолжать обновлять поезд строить новый городской вокзал ваш поездка комфортный,39
метро работать специальный габаритный вагон проверять расстояние оборудование новый тоннель подвижный состав убеждаться поездка новый участок линия быть безопасный поезд пассажир работать вагон немой габаритный рама состоять подпружиненный пластина взаимодействие предмет который нарушать габарит пластина складываться характерный звук правило негабарит тоннель устраняться прямо место вагон должный проехать участок,27
отряд год это проект ребёнок сотрудник московский метро хотя давно расширить свой граница приглашать профориентационный занятие ребёнок сотрудник московский транспорт школьник старший год знакомиться город культура изучать история транспорт столица они работать педагог сотрудник корпоративный университет психолог специалист профориентация сегодня отряд ребёнок ребята старший год учиться профильный учебный заведение число целевой направление несколько выпускник работать московский транспорт число становиться поздравлять ребята желать успех начинание присоединяться наш команда подробный вакансия сайт чат бот александра личный сообщение телефон,1
собираться отпуск забыть заморозить годовой абонемент тройка терять день поездка приостановить действие билет день онлайн приложение метро москва воспользоваться опция весь срок действие годовой абонемент,20
будни декабрь меняться расписание поезд савёловский направление интервал увеличить минута час минута последний поезд станция бескудниково савёловский вокзал сторона москва прибытие савёловский вокзал часть поезд измениться набор остановка белорусский направление интервал частично увеличить полчаса часть поезд измениться набор остановка часть останавливаться бегов тестовский движение аэроэкспресс аэропорт шереметьево измениться график некоторый рейс ранний утром поздний вечером строительство станция петровско разумовский будни ночью быть очередь закрывать путь савёловский вокзал бескудниково поезд поехать реверс смотреть график движение пригородный городской поезд аэроэкспресс автобус метро ховрино который доехать аэропорт,5
бкл стать лауреат премия время инновация признать инфраструктурный проект год категория транспорт машиностроение премия вручаться год хороший проект практика разработка внедрение развитие инновация разный сфера лауреат флагман российский экономика оценивать эксперт премия масштаб эффективность деятельность систематичность активность значимость нововведение больший кольцевой линия крупный инновационный мир проект метростроение сделать удобный поездка млн пассажир позволять экономить минута путь,31
продажа появиться географический схема метро формат схема метрополитен наложить карта москва получиться точный географический отображение линия станция парка крупный магистраль копия карта подпись президент россия разместить станция метро вагон поезд москва русич уникальный схема ждать сайт стойка живой общение магазин станция маяковский трубный,70
дышаться полный грудь метро обновить вентшахта программа модернизация устаревший вентшахта начаться год полностью заменить оборудование обновить шахта измениться воздух метро стать лето новый вентшахта позволять снизить температура станция градус зимой сохранять тепло воздух стать чистый новый вентилятор надёжный экономичный обладать улучшить аэродинамический характеристика обслуживание вентиляционный комплекс проводиться регулярно работник промывать канал менять фильтр проверять очищать оборудование лаборатория микроклимат постоянно контролировать параметр воздух метро,19
бесплатный заработать сервисный центр бкл станция проспект вернадский савёловский тексильщик кунцевский подключиться беспроводный интернет выбрать список доступный сеть высокоскоростной соединение помочь обращение сервисный центр заменить неисправный проездной билет перенести услуга неработающий тройка новый получить временный проездной перевыпустить карта москвич предыдущий истечь оплатить срок действие узнать тариф проезд многое другой хотеть тратить время дорога напоминать сервисный услуга московский транспорт доступный онлайн,27
певица глюкоза стать новый гость проект звезда метро рассказать станция начаться творческий путь произойти знакомство продюсер максим фадеев линия будущий певица любить прогуливать урок вместе телеканал москва возобновить проект новый формат предыдущий часть посмотреть,32
депо сокол замоскворецкий линия закончить переобучение машинист инструктор управление современный состав москва год новый поезд мочь начать перевозить пассажир близкий месяц машинист инструктор обучить управление самый новый состав машинист который работать линия процесс обучение делиться этап теория отработка действие разный ситуация тренажёр настоящий состав депо учебный управление реальный поезд линия пассажир,68
хороший новость пассажир мцд декабрь измениться график движение поезд каждый год ржд перевозчик цппк ппк менять это коснуться диаметральный маршрут продлить маршрут пригородный поезд улучшить расписание дальний зона добавить состав маршрут лобня можайск дмитр савёловский вокзал добавить диаметральный поезд стать продлить состав дальний зона добавить поезд маршрут серпухов царицыно серпухов волоколамск продлить маршрут поезд дальний пригород уменьшить интервал вокзал диаметральный поезд апрелевка железнодорожный ускорить минута интервал внепиковый часы сократить назначить дополнительный состав продлить маршрут пригородный поезд быстрый поехать некоторый экспресс посмотреть новый расписание сайт цппк ппк приложение метро москва московский транспорт,32
ольга серябкина выступить площадка музыка метро мичуринский проспект бкл пассажир стать первый услышать новый трек начать сначала вживую певица исполнить свой знаменитый хит мама люба бывший одиночка забыть посмотреть выступление ольга целиком рамка наш проект музыка мочь видеть метро другой российский звезда баста джиган мота,18
сегодня цппк исполняться год работать машинист кассир контролёр человек другой профессия который обойтись железный дорога спасибо каждый день помогать миллион пассажир добираться туда ждать честь компания именинница самый песня,118
год помогать российский школа подготовка собака проводник вос начало год обучение они метро пройти маломобильный пассажир год человек время занятие слабовидящий незрячий человек учиться вместе питомец заходить выходить дверь вестибюль спускаться подниматься эскалатор правильно перемещаться платформа быстро заходить вагон поезд выходить нужный станция обучение помогать пассажир привыкнуть передвижение метро подготовить собака оно проходить строго контроль инспектор цомп заказать сопровождение воспользоваться добрый сервис протяжение время работа метро,21
назвать цвет год персиковый пушок одобрять,32
появиться новый картина номер станция метро новослободский спартак купить сайт стойка живой общение магазин станция маяковский трубный красота быть ждать ваш работа предложка,12
запустить познавательный поезд рувика сокольнический линия каждый вагон посвятить интересный факт космос интернет коммуникация архитектура медицина кино музыка спорт деньга одежда например узнать изобрести антибиотик называться первый московский небоскрёб страна первый мир признать киберспорт многое другой перейти код прочитать подробный сайт новый интернет энциклопедия,4
тысяча турникет обновить метро мцк начало год устройство принимать оплата банковский карта срабатывать намного быстрый напоминать простой правило быстро безопасно проходить турникет приложить считыватель банковский карта тройка карта москвич дождаться зелёный сигнал проходить турникет полный открытие створка пользоваться биометрия выбирать турникет обозначить чёрный стикер посмотреть камера створка открыться плата проезд списаться банковский карта автомат,32
год поезд начать останавливаться станция кутузовский московский городской вокзал который объединить метро мцк диаметр будущее прямой пересадка метро интеграция соседний бизнес центр это повышать востребованность станция запуск пассажиропоток кутузовский мцк вырасти вокзал построить весь стандарт московский транспорт быстрый пересадка мцк эскалатор лифт весь путь следование разместить понятный навигация напоминать пересадка диаметр метро мцк мцд бесплатный забывать прикладывать карта тройка валидатор турникет вход выход станция,47
вместе кадровый сервис правительство москва открыть выставка твой город твой дело экспозиция посвятить представитель профессия благодаря который москва становиться комфортный увидеть фото столичный специалист ребёнок рисунок который ребята изобразить свой папа мама работа приходить посмотреть станция выставочный декабрь,0
беречь любимый,52
гость выставка россия полюбить звезда проект музыка метро решить добавить несколько выступление декабрь юрий пашалый репертуар аккордеонист классический мелодия французский шансон музыка военный год многое другой декабрь скрипач александр демид музыкант композитор исполнять авторский инструментальный произведение хит поп рок музыка декабрь антонин синицин девушка виртуозно владеть балалайка исполнять народный песня декабрь арфистка татьяна виговский профессиональный музыкант играть классика арфовый романтик популярный мелодия музыка кинофильм джаз артист музыка метро выступить пространство москва павильон вднх начало,9
иволга успешно пройти испытание выйти новый диаметр год тверской вагоностроительный завод входить состав трансмашхолдинг приёмочный комиссия закончить работа подписать акт приём поезд иволга получить сертификат соответствие требование технический регламент таможенный союз позволять начать серийный производство состав новый поезд проходить испытание скоростной перегон белореченский майкоп щербинка тверь тестироваться работа система основный отличие модификация предыдущий дверь промежуточный вагон быстрый заходить выходить состав производитель сохранить привычный удобство зарядка число беспроводный комфортный кресло возможность провоз велосипед самокат новый версия обновить экстерьер интерьер поезд скоро показать иволга весь краса,86
машинист приступить работа метро начало год наш корпоративный университет предлагать обучение профессия машинист поезд желать выплачивать стипендия период обучение присоединяться команда московский транспорт подробность узнать центр подбор персонал сайт чат бот александра личный сообщение телефон,31
продолжать строительство московский городской вокзал беговой быть останавливаться поезд организовать удобный пересадка таганско краснопресненский линия метро сегодня состав проезжать станция остановка останавливаться временной платформа это позволить сохранить остановка белорусско савёловский диаметр пересесть аэроэкспресс шереметьево новый станция готовый возводить платформа вестибюль пересадка достаточно перейти один часть платформа другой беговой оборудовать лифт эскалатор переход путь сделать надземный оснастить современный навигация организовать прямой интеграция метро выход улица новый московский городской вокзал стать комфортный современный,70
встречать метро москва новый версия приложение переделать главный раздел личный кабинет это позволить удобный управлять весь платёжный карта подключать биометрия мультитранспорт поездка разный вид транспорт многое другой пока обновление доступно пользователь устройство версия загрузить поздний,30
международный день инвалид площадка музыка метро станция мичуринский проспект бкл пройти концерт участник проект инвалидность пассажир выступить даниил шипун юный талантливый пианист синдром даун алексей ермохина певец военный инвалид колясочник дмитрий арещенок исполнитель песня жестовый язык глухой слабослышащий человек александр вяз музыкант мультиинструменталист инвалид группа слух,5
начаться зимний сезон свадьба метро ночью маяковский сотрудник московский загс провести торжественный церемония бракосочетание следующий состояться один популярный зимний дата среди молодожён февраль год свадьба проходить ночью подарить молодожён особый атмосфера праздник мешать пассажир делиться вы красивый фото дата свадебный регистрация год,19
центр обеспечение мобильность пассажир работать год специалист сопровождать пассажир музей культурный центр соцучреждение делиться самый популярный маршрут инклюзивный контакт центр тёплый контакт культурно спортивный реабилитационный комплекс вос российский государственный библиотека слепой оставить заявка сопровождение время работа служба,42
бкл войти шорты лист премия компания будущее номинация прорыв год эксперт премия отметить мы удаться реализовать невозможный проект который отметить международный уровень декабрь организатор премия проводить открытый голосование мочь повлиять выбор победитель поставить оценка номинант переходить сюда выбирать московский метро итог подвести декабрь церемония награждение посылать ответ луч добро каждый проголосовать,25
окунуться культура север россия выставка сибирь арктика лицо открыться переход станция савёловский серпуховско тимирязевский бкл сибирь арктика проживать народ самобытный культура уникальный язык традиция узнать эвенк коряк юкагир показать житель северный регион готовить сани играть молодецкий забава выглядеть национальный одежда шерсть создание фотовыставка использоваться материал команда проект информационно просветительский портал ребёнок арктика увидеть экспозиция декабрь,0
московский метро самый чистый россия международный ассоциация метро составить рейтинг метрополитен город страна чистота учитываться критерий число наличие профессиональный клининговый оборудование специальный моющий средство получить максимальный балл большинство параметр чистота занять место тройка лидер войти самарский новосибирский метро,51
мочь пополнить тройка угодный пара секунда приложение метро москва удалённый пополнение баланс карта тройка карта москвич активировать объяснять сделать это несколько способ помощь телефон валидатор салон автобус электробус трамвай автомат продажа билет инфотерминал метро скоро запись удалённый пополнение прислонить карта турникет метро билет записаться момент обычный оплата проезд это повлиять скорость проход турникет,61
твой любимый бкл самый современный поезд вашифото,69
закончить благоустройство метро царицыно место котлован вырыть ремонт тоннель замоскворецкий линия появиться сквер высадить дерево установить лавочка качели навес защита осадки стать уютный ремонт весна закончить обустройство спортивный площадка житель появиться новый место активный отдых создавать царицыно московский городской вокзал улучшать инфраструктура полгода полностью заменить тоннель царицыно кантемировский перегон заново построить тоннель применение современный технология метро отремонтировать подуличный переход открыть дополнительный выход южный вестибюль закрытый год октябрь открыть обновить царицынский рынок который стать один самый современный город,33
будни ноябрь декабрь измениться расписание поезд савёловский направление интервал увеличить минута час часть поезд отменить часть поезд измениться набор остановка белорусский направление интервал частично увеличить минута часть поезд измениться набор остановка движение аэроэкспресс аэропорт шереметьево скорректировать расписание некоторый поезд ранний утром поздний вечером обновление инфраструктура бескудниково лобный будни ночью очередь быть закрывать путь это время поезд поехать реверс смотреть график движение пригородный городской поезд аэроэкспресс автобус метро ховрино который доехать аэропорт,3
установить зеркало вестибюль станция поправить причёска снять селфи назначить встреча знать это сделать хороший поездка,19
девушка управление поезд метро это мечта реальность сегодня около девушка управлять современный состав серия москва работать помощник машинист встретить филёвский некрасовский линия задать несколько вопрос работа ответ карточка набор машинист поезд линия метро продолжаться обучать наш корпоративный университет выплачивать стипендия время обучение подробность центр подбор персонал сайт чат бот александра личный сообщение телефон,55
напоминать некоторый правило метро сохранять потерять толкаться транспорт важно внимательный уважать окружающий уступать место видеть пожилое человек беременный женщина пассажир ребёнок человек ограничение здоровье это проявление внимание забота слушайте музыка смотреть видео наушник телефон разговаривать тихий стараться нарушать спокойствие другой пассажир обязательно снимать рюкзак вагон место нарушить чужое пространство быть внимательный свой вещь забывать выход вагон соблюдать правило безопасность курить включая электронный сигарета вейп пользоваться открытый огонь сам открывать дверь поезд специальный кнопка это помочь сделать ваш поездка приятный комфортный пассажир,44
пополнить кошелёк карта тройка максимально удобно приложение метро москва мочь положить счёт кошелёк тысяча рубль приложение напомнить тройка хватать средство подключить функция уведомление снижение баланс личный кабинет скачивать метро москва,11
оборудовать виброгасить блок станция метро применяться вместо деревянный шпала помогать снизить влияние вибрация конструкция тоннель уменьшать уровень шум поезд начало год такой блок уложить станция например арбатский филёвский линия дмитровский кожуховский делать ваш поездка тихий комфортный,26
тысяча сезонный указатель появиться второй дверь вестибюль метро снаружи разместить наклейка название станция номер линия который зайти отметить возможный пересадка например дверь кунцевский филёвский линия арбатско покровский бкл удобный ориентироваться линия станция который заходить показать крупный остальной стикер внутри стикер указывать номер выход второй дверь вестибюль метро вернуть наступление зима поддержание комфортный температура станция,16
настроение утро,6
честь день мама аванзал курский пройти концерт выступить хор преображение юный артист исполнить популярный детский песня праздник бабушка мама зебренок желать добро далеко мама взяться рука другой послушать праздничный песня площадка проект музыка метро мама спасибо,4
сегодня праздноваться день мама разместить поздравление табло поезд линия метро ходить такой состав говорить слово благодарность кто любим встретить сокольнический арбатско покровский калужско рижский калининский солнцевский серпуховско тимирязевский бутовский линия,28
железный дорога это невероятный мир путь поезд вокзал честь летие мцд рассказать немой ребёнок павильон московский транспорт сначала ребята показать павильон послушать разный вид транспорт смочь примерить роль машинист метро лекция сотрудник диаметр юный участник узнать работа мцд поезд профессия правило поведение железный дорога обойтись история котик депо каждый получить масса впечатление карта тройка уникальный дизайн смотреть это,5
этот неделя проект музыка метро выдаться насыщенный ноябрь южный речной вокзал состояться открытый прослушивание профессиональный жюри увидеть музыкальный номер скоро узнать результат тур,19
помнить выставка станция манеж выбирать цвет интерьер новый вагон метро результат открытый голосование победить темно серый оттенок эко набрать голос нежно розовый зефир проголосовать посетитель молочный белый свет выбрать цветовой решение разработать национальный центр промышленный дизайн инновация лаб оценить новый поезд смочь следующий год показывать выглядеть вариант расцветка,100
год направление появиться возможность ездить тройка пассажир мцд мочь экономить поездка московский область некоторый оплачивать проезд полностью прикладывать карта валидатор выход станция каждый покупать новый тройка цена ниже поездка москва дальний пригород декабрь остановить такой мошенничество менять залоговый стоимость тройка составить рубль подробность поездка мцд менять правило разблокировка это стоить рубль цена билет зона закрытие незавершённый поездка согласно правило перевозка подробный блокировка писать добросовестный пассажир который постоянно пользоваться свой тройка такой большинство никакой изменение заметить напоминать мцд обязательно прикладывать карта турникет валидатор вход выход станция иначе заблокировать проезд разблокировка нужно обратиться пригородный касса,91
суббота ноябрь измениться расписание железнодорожный курский часть поезд отменить часть поехать станция реутово кусково интервал увеличить часть состав ходить отмена остановка станция чухлинк никольский салтыковский кучиный ольгино апрелевка курский часть диаметральный поезд поехать станция марьин роща интервал увеличить конец день интервал весь маршрут апрелевка железнодорожный частично увеличить минута это время ржд обновить инфраструктура курский нижегородский нижегородский кусково работа пройти выходной пассажир станция маленький перевозчик цппк назначить пассажир компенсационный автобус смотреть расписание приложение метро москва московский транспорт расписание билет цппк сайт,8
подводить итог наш совместный конкурс билет танцевальный спектакль получать ольга муравьёв соня соколов елена геннадиевич анна колосов александр кочергин поздравлять наш сотрудник написать личный сообщение рассказать подробность вместе театр танец алла духов разыгрывать билет спектакль честь день мать вечером ноябрь ждать сокровищница хороший номер балет история участие подписаться сообщество московский метро тодес комментарий указать какой танец любить отметить человек кто хотеть пойти спектакль ноябрь случайный образ определимый победитель который подарить билет упустить свой шанс посетить невероятный красота энергетика танцевальный шоу,78
ноябрь ноябрь измениться расписание небольшой часть поезд отменить интервал некоторый случай увеличить минута курский направление часть состав проследовать станция царицыно курский модернизация путевой инфраструктура станция царицыно закрыть главный путь поезд поехать остаться путь работа пройти выходной человек станция маленький смотреть расписание приложение метро москва московский транспорт расписание билет цппк сайт перевозчик,28
